id,名称,别名(释名),气味,主治,附方,生长,考释
220,蘖木,,味苦寒,主治五脏肠胃中结气热，黄疸，肠痔，止泄利，女子漏下赤白，阴阳蚀疮。根，檀桓,,山谷,
221,辛夷,辛引/侯桃/房木,味辛溫,主治五臟身体寒热，风头脑痛，面鼾。久服下气，轻身明目，增年能老,,川谷,
222,榆皮,零榆,味甘平,主治大小便不通，利水道，除邪气。久服轻身不饥。其实尤良,,山谷,
223,酸枣,,味酸平,主治心腹寒热邪结气，四肢酸疼，湿痹。久服安五脏，轻身延年,,川泽,
224,槐子,,味苦寒,主治五内邪气热，止涎唾，补绝伤，五痔火疮，妇人乳瘕，子藏急痛,,平泽,
225,枸杞,杞根/地骨/枸忌/地辅,味苦寒,主治五内邪气，热中消渴，周痹。久服坚筋骨，轻身耐老,,平泽,
226,橘柚,橘皮,味辛温,主治胸中瘕热逆气，利水谷。久服去口臭，下气通神,,南山川谷,
227,干漆,,味辛温无毒,主治绝伤，补中，续筋骨，填髓脑，安五脏，五缓六急，风寒湿痹。生漆，去长虫。久服轻身耐老,,川谷,
228,木兰,林兰,味苦寒,主治身大热在皮肤中，去面热赤疱酒皶，恶风癩疾，阴下痒湿，明目,,山谷,
229,龙眼,,味甘平,主治五脏邪气，安志，厌食。久服强魂，聪明，轻身不老，通神明,,山谷,
230,厚朴,,味苦温无毒,主治中风，伤寒，头痛，寒热惊气，血痹死肌，去三虫,,山谷,
231,竹叶,,味苦平,主治咳逆上气，溢筋急恶疡，杀小虫。根，作汤，益气止渴，补虚下气。汁，主风痉痹。实，通神明，轻身益气,,,
232,枳实,,味苦寒,主治大风在皮肤中如麻豆苦痒，除寒热热结，止利。长肌肉，利五脏，益气轻身,,川泽,
233,山茱萸,蜀枣,味酸无毒,主治心下邪气寒热，温中，逐寒湿痹，去三虫。久服轻身,,山谷,
234,吴茱萸,藙,味辛温,主温中下气止痛，咳逆寒热，除湿血痹，逐风邪，开腠理。根，杀三虫,,川谷,
235,秦皮,,味酸无毒,主治风寒湿痹，洗洗寒气，除热，目中青翳白膜。久服头不白，轻身,,川谷,
236,支子,木丹,味苦寒,主治五内邪气，胃中热气，面赤酒疱皶鼻，白癞赤癞疮疡,,川谷,
237,合欢,,味甘平,主安五脏，和心志，令人欢乐无忧。久服轻身明目，得所欲,,益州山谷,
238,秦椒,,味辛温,主治风邪气，温中，除寒痹，坚齿长发，明目。久服轻身好颜色，耐老增年通神,,川谷,
239,紫葳,,味酸微寒,主治妇人乳余疾，崩中癥瘕血闭，寒热羸瘦，养胎,,川谷,
240,芜荑,无姑/殿塘,味辛,主治五内邪气，散皮肤骨节中淫淫行毒。去三虫，化食,,川谷,
